,cohens_d
441,-2.801367713432042
442,-2.5751962814971097
443,-4.452931632981594
444,-4.8611994688408
445,-0.7470497892877375
446,-4.677505487739266
447,-3.2508543683456557
448,-4.08481600829469
449,-0.0858730965045046
450,-1.6391086115374078
451,0.8676473837987133
452,-4.5654247287853424
453,-2.9704000598455997
454,-4.478010175185386
455,-3.1798315565475805
456,-2.602033444614334
457,-4.072619363055855
458,-4.912335379647899
459,-2.081431778362235
460,-2.796827812644905
461,-5.3211028759520405
462,-5.036940183143753
463,-4.497986158142097
464,-3.9076413742988096
465,-4.751505139270304
466,-2.628414616409311
467,-3.417034489233452
468,-3.898142155807872
469,-5.25708826344022
470,-2.8008536042090446
471,-3.646923727924588
472,-1.8176441846411233
473,-4.556133300416907
474,-5.76709402106793
475,-5.8022733812974145
476,-2.9364989675308326
477,-2.6531384207943756
478,-5.738692879447345
479,-3.7282515121132174
480,-4.139364960513018
481,-4.100871673670353
482,-4.533669999099446
483,-4.101613542490415
484,-2.2780327709842862
485,-4.028194399249289
486,-5.41371142321002
487,-2.845628467180152
488,-4.548345683024466
489,-2.8079273541213103
490,-4.681019048035835
491,-1.438131659459692
492,-3.562475728475562
493,-2.7294451678162606
494,-4.0474225824435806
495,-4.176736842084137
496,-3.082660013830251
497,-3.527263612161301
498,-2.8153520123181006
499,-5.3530073424559275
500,-2.4663671947688797
501,-2.938709416418112
502,-3.751890805232376
503,-4.174275038572756
504,-6.229237474564338
505,-5.093918065615821
506,-5.319088760783701
507,-4.0371159006332
508,-3.500080255120475
509,-4.886312087956811
510,-5.211600924076869
511,-3.5106851919688977
512,-2.6049228209131026
513,-2.74344995881362
514,-2.479435903846745
515,-3.479838160561279
516,-1.6178881517136559
517,-3.642408392435519
518,-4.12923499585885
519,-3.1154879562546993
520,-3.4511091389469764
521,-4.073125628213241
522,-2.9409250845684816
523,-4.8146626548835885
524,-2.9481096405098635
525,-3.4933004291555725
526,-2.1154160683975296
527,-1.9212457566558758
528,-2.5620975869408587
529,-3.590247410630201
530,-5.1806972538292735
531,-5.226137082253934
532,-3.5104127118468766
533,-3.558489563795207
534,-5.219585962993184
535,-3.955476551975922
536,-3.345838193456178
537,-3.596245662862705
538,-3.9524551279962927
539,-2.1097648372946876
540,-0.6579714757639923
541,-3.367802128063257
542,-4.3488981860039875
543,-2.8788863661509025
544,-4.990212229418605
545,-5.575308646483494
546,-3.748683116366934
547,-2.6847702138361713
548,-2.1400372001663017
549,-5.019705622011047
550,-2.664131953920518
551,-4.074211549033441
552,-4.361565778742528
553,-4.935134366808411
554,-5.084117179689394
555,-2.9876608905653788
556,-3.5765739135246686
557,-2.9862203754370746
558,-2.3855246647313044
559,-4.747488802472595
560,-3.0918565279931127
561,-2.850722174934937
562,-4.387183365610072
563,-4.056458008885122
564,-4.732348224581867
565,-2.0651597416267413
566,-5.324390329148522
567,-4.321267441864834
568,-3.0116086321244357
569,-3.7180437671664874
570,-2.6801618033441152
571,-3.83241625703802
572,-4.240437872771802
573,-4.2791303540085535
574,-3.4818847762385206
575,-3.209486461014597
576,-1.9106110096847506
577,-3.279663461603944
578,-2.3925481546353953
579,-4.061164766969624
580,-4.059759452406189
581,-3.145975763347992
582,-3.211416131426683
583,-3.0150856856688955
584,-2.4381407908437995
585,-2.7015786197620733
586,-4.266915431779783
587,-3.212866451708106
588,-5.136949569395381
589,-4.849426797201627
590,-2.9530403431826246
591,-4.46371466748582
592,-3.6123571257563385
593,-3.3822054441069147
594,-4.544193882780901
595,-3.5365058565978345
596,-4.462448184946918
597,-2.9148685116252966
598,-3.6997083279639256
599,-4.312214607029872
600,-3.88373501363961
601,-4.125851822370088
602,-3.596619435082834
603,-3.985786849860421
604,-3.0372393449437918
605,-2.887979378925351
606,-3.4442432885860126
607,-3.4196923910866683
608,-2.999266108757282
609,-4.934956751654547
610,-4.900576248372851
611,-5.111265292485794
612,-5.153916484819325
613,-5.189658069023657
614,-3.2197869266794092
615,-3.86569505060229
616,-2.696953180281379
617,-1.3069869942049115
618,-4.249055223453641
619,-3.3264409313644947
620,-3.691140235556603
621,-5.005222188326743
622,-4.826276474080384
623,-3.291074313232503
624,-2.58178665016412
625,-4.315834866967555
626,-3.0226100041684005
627,-2.8360264296525446
628,-4.55593110246512
629,-4.160339357398014
630,-3.2689750161588234
631,-5.283390201058962
632,-3.1702957705539463
633,-2.6948313212935577
634,-3.082372516605879
635,-3.7779919960206128
636,-6.029373628113415
637,-4.229099110999573
638,-6.368497995823195
639,-2.358413422520973
640,-2.7410843923429273
641,-4.4735022654788335
642,-3.7429820418358597
643,-2.9801903836631856
644,0.8271282424935492
645,-5.054712424112905
646,-3.8856268750750553
647,-4.026012820909425
648,-5.38171882429226
649,-3.7067814453411407
650,-4.164688516887461
651,-3.6636215034450386
652,-4.839204147585413
653,-3.697060174735362
654,-4.022525969658261
655,-3.059116406499207
656,-5.108436622176183
657,-0.4956664227079105
658,-4.676729062283367
659,-4.867072277899065
660,-4.264204067768156
661,-3.393816807948694
662,-3.878952880415015
663,-4.872988964554142
664,-2.2266818585596506
665,-4.9646367325358405
666,-2.994335721809695
667,-2.1726514228647624
668,-2.0506996104489037
669,-4.2522215422968515
670,-3.918325673962328
671,-1.4209643007094872
672,-4.699822653174594
673,-4.713437670974913
674,-3.9857098210781827
675,-3.082894308819273
676,-3.7592964483580107
677,-2.5270876892357412
678,-2.941812923904104
679,-4.005181533276938
680,-3.166933914687495
681,-3.9652805609387913
682,-2.413549087194214
683,-2.699764998611503
684,-0.7457884727645018
685,-4.072945197232544
686,-3.522531522254567
687,-3.3836433820437923
688,0.8415242571057899
689,-5.278350901907255
690,-3.8254988272730377
691,-2.979750889394509
692,-5.997966360280835
693,-3.0733360218328714
694,-2.211034642502566
695,-3.674618666082911
696,-3.8246298328067643
697,-3.6110306803684598
698,-2.8614453756367326
699,-4.120572956310308
700,-5.238615670929391
701,-4.4833832809308545
702,-4.4693181139963105
703,-4.051427431410249
704,-3.294555340814331
705,-5.085219636414704
706,-0.558910182474072
707,-6.152483731736336
708,-4.651095418118117
709,-4.137831418323177
710,-3.1338956141173964
711,-4.475603109307695
712,0.6691649108409652
713,-4.044931956641574
714,-1.9644050328084894
715,-1.7490643451981263
716,-3.3444969319784352
717,-3.7848243053721595
718,-3.7092024535008807
719,-4.079909704272435
720,-2.5420974265830627
721,-2.6730897896469252
722,-2.201164459320015
723,-2.0796973030436625
724,-3.900048389867979
725,-1.0286330444423777
726,-4.62743083953103
